bărbat;man
femeie;woman
băiat;boy
fată;girl
eu;I
sunt;am
un;a
o;a
nu;no
copil;child
tu;you
ești;are (you are)
el;he
ea;she
este;is
e;is
și;and
măr;apple
pâine;bread
mănânc;eat
mănânci;eat (you eat)
apă;water
lapte;milk
beau;drink
bei;drink (you drink)
sau;or
bărbatul;the man
băiatul;the boy
copilul;the child
mărul;the apple
mănâncă;eats
suc;juice
ceai;tea
cafea;coffee
bea;drinks
femeia;the woman
fata;the girl
pâinea;the bread
apa;the water
laptele;the milk
sucul;the juice
ceaiul;the tea
cafeaua;the coffee
am;have
ai;have (you have)
are;has
meniu;menu
sandvici;sandwich
orez;rice
mere;apples
copii;children
două;two
noi;we
suntem;are (we are)
avem;have (we have)
voi;you (plural)
sunteți;are (you are, plural)
aveți;have (you have, plural)
bărbați;men
băieți;boys
doi;two
ei;they (masculine)
ele;they (feminine)
sunt;are
au;have
femei;women
fete;girls
merele;the apples
carte;book
ziar;newspaper
mâncăm;eat (we eat)
bem;drink (we drink)
mâncați;eat (you eat, plural)
beți;drink (you drink, plural)
mănâncă;eats
beau;drink
orezul;the rice
sandviciul;the sandwich
meniul;the menu
citesc;read
scriu;write
citești;read (you read)
scrii;write (you write)
citește;reads
scrie;writes
mesaj;message
scrisoare;letter
ziarul;the newspaper
citim;read (we read)
scriem;write (we write)
citiți;read (you read, plural)
scrieți;write (you write, plural)
scrisoarea;the letter
mesajul;the message
cartea;the book
salut;hello
bună;hi
mersi;thanks
mulțumesc;thank you
da;yes
te;you
rog;please
cu;with
plăcere;pleasure
pa;bye
pe;on
curând;soon
la;at
revedere;goodbye
scuze;sorry
pardon;excuse me
bun venit;welcome
dimineața;morning
ziua;day
seara;evening
noapte;night
poftă;appetite
duolingo;duolingo
ana;ana
vorbesc;speak
vorbești;speak (you speak)
vorbește;speaks
vorbim;speak (we speak)
vorbiți;speak (you speak, plural)
limbă;language
română;Romanian
engleza;English
masă;table
zahăr;sugar
miere;honey
unt;butter
brânză;cheese
cacao;cocoa
ciocolată;chocolate
plăcintă;pie
micul dejun;breakfast
cină;dinner
piper;pepper
sare;salt
ulei;oil
salată;salad
prânz;lunch
oțet;vinegar
supă;soup
legumă;vegetable
roșie;tomato
castravete;cucumber
ridiche;radish
varză;cabbage
usturoi;garlic
ceapă;onion
desert;dessert
înghețată;ice cream
tort;cake
bucătărie;kitchen
frigider;fridge
cuptor;oven
muștar;mustard
maioneză;mayonnaise
morcov;carrot
cartof;potato
vânătă;eggplant
conopidă;cauliflower
de;of
porc;pork
vită;beef
pește;fish
curcan;turkey
friptură;steak
pui;chicken
carne;meat
șnițel;schnitzel
clătită;pancake
fruct;fruit
lămâie;lemon
banană;banana
caisă;apricot
portocală;orange
mandarină;tangerine
piersică;peach
pară;pear
prună;plum
arahidă;peanut
ananas;pineapple
strugure;grape
căpșună;strawberry
zmeură;raspberry
ou;egg
iaurt;yogurt
șervețel;napkin
ceașcă;cup
pahar;glass
sticlă;bottle
farfurie;plate
furculiță;fork
cuțit;knife
lingură;spoon
linguriță;teaspoon
câine;dog
pisică;cat
cățel;puppy
canar;canary
șoarece;mouse
animal de companie;pet
hamster;hamster
pasăre;bird
papagal;parrot
vacă;cow
taur;bull
bou;ox
vițel;calf
purcel;piglet
oaie;sheep
miel;lamb
capră;goat
iepure;rabbit
găină;hen
cocoș;rooster
rață;duck
gâscă;goose
măgar;donkey
armăsar;stallion
cal;horse
animal;animal
elefant;elephant
leu;lion
urs;bear
lup;wolf
șarpe;snake
balenă;whale
rechin;shark
broască țestoasă;turtle
delfin;dolphin
focă;seal
vultur;eagle
bufniță;owl
liliac;bat
pinguin;penguin
păianjen;spider
insectă;insect
țânțar;mosquito
albină;bee
fluture;butterfly
morcovi;carrots
cartofi;potatoes
canari;canaries
armăsari;stallions
măgari;donkeys
hamsteri;hamsters
tauri;bulls
vulturi;eagles
țânțari;mosquitoes
lupi;wolves
urși;bears
papagali;parrots
boi;oxen
lei;lions
păianjeni;spiders
cocoși;roosters
porci;pigs
rechini;sharks
castraveți;cucumbers
usturoi;garlic
pui;chickens
cai;horses
câini;dogs
căței;puppies
pești;fish
struguri;grapes
iepuri;rabbits
plăcinte;pies
supe;soups
verze;cabbages
cepe;onions
sticle;bottles
mese;tables
bufnițe;owls
gâște;geese
banane;bananas
caise;apricots
portocale;oranges
mandarine;tangerines
prune;plums
pere;pears
insecte;insects
rațe;ducks
albine;bees
dimineți;mornings
seri;evenings
linguri;spoons
găini;hens
fripturi;steaks
prăjituri;cakes
piersici;peaches
vaci;cows
pisici;cats
beri;beers
lămâi;lemons
farfurii;plates
cafele;coffees
pâini;breads
roșii;tomatoes
zile;days
scrisori;letters
cărți;books
sucuri;juices
deserturi;desserts
torturi;cakes
iaurturi;yogurts
vinuri;wines
ouă;eggs
sandviciuri;sandwiches
prânzuri;lunches
păsări;birds
frigidere;fridges
mesaje;messages
cuțite;knives
animale;animals
meniuri;menus
ceaiuri;teas
șnițele;schnitzels
ziare;newspapers
pahare;glasses
înalt;tall
scundă;short
rapid;fast
încet;slow
bun;good
ușor;easy
puternic;strong
slab;weak
gras;fat
tinere;young
bătrân;old
frumos;beautiful
urât;ugly
bogat;rich
sărac;poor
scump;expensive
ieftin;cheap
deștept;smart
sărată;salty
amar;bitter
proaspătă;fresh
calde;warm
prăjit;fried
copt;baked
fiert;boiled
plin;full
gol;empty
curat;clean  
murdar;dirty  
ud;wet  
uscate;dry  
acre;sour  
mândru;proud  
rău;bad  
greu;hard  
mică;small  
larg;wide  
lungă;long  
românesc;Romanian  
englezesc;English  
viu;alive  
fermecători;charming  
atrăgător;attractive  
nou;new  
mare;big  
dulce;sweet  
iute;spicy  
rece;cold  
tare;hard  
moale;soft  
subțire;thin  
vechi;old  
eficace;effective  
cumsecade;kind  
fructul;the fruit  
ananasul;the pineapple  
morcovul;the carrot  
tortul;the cake  
zahărul;the sugar  
untul;the butter  
desertul;the dessert  
uleiul;the oil  
oțetul;the vinegar  
frigiderul;the fridge  
cuptorul;the oven  
paharul;the glass  
cuțitul;the knife  
muștarul;the mustard  
iaurtul;the yogurt  
cartoful;the potato  
piperul;the pepper  
puiul;the chicken  
animalul;the animal  
taurul;the bull  
calul;the horse  
măgarul;the donkey  
porcul;the pig  
curcanul;the turkey  
cocoșul;the rooster  
hamsterul;the hamster  
canarul;the canary  
leul;the lion  
ursul;the bear  
lupul;the wolf  
elefantul;the elephant  
vulturul;the eagle  
liliacul;the bat  
pinguinul;the penguin  
rechinul;the shark  
delfinul;the dolphin  
plăcinta;the pie  
clătita;the pancake  
brânza;the cheese  
lămâia;the lemon  
sarea;the salt  
salata;the salad  
varza;the cabbage  
leguma;the vegetable  
conopida;the cauliflower  
roșia;the tomato  
ceapa;the onion  
friptura;the steak  
maioneza;the mayonnaise  
portocala;the orange  
caisa;the apricot  
căpșuna;the strawberry  
pruna;the plum  
găina;the hen  
rața;the duck  
gâsca;the goose  
pasărea;the bird  
vaca;the cow  
oaia;the sheep  
capra;the goat  
insecta;the insect  
albina;the bee  
castravetele;the cucumber  
peștele;the fish  
fluturele;the butterfly  
strugurele;the grape  
șoarecele;the mouse  
câinele;the dog  
bărbații;the men  
ananașii;the pineapples  
morcovii;the carrots  
castraveții;the cucumbers  
usturoii;the garlic cloves  
băieții;the boys  
copiii;the children  
cartofii;the potatoes  
strugurii;the grapes  
liliecii;the bats  
lupii;the wolves  
urșii;the bears  
țânțarii;the mosquitoes  
fluturii;the butterflies  
păianjenii;the spiders  
papagalii;the parrots  
canarii;the canaries  
câinii;the dogs  
purceii;the piglets  
mieii;the lambs  
caii;the horses  
boii;the oxen  
taurii;the bulls  
măgarii;the donkeys  
porcii;the pigs  
curcanii;the turkeys  
puii;the chickens  
cocoșii;the roosters  
leii;the lions  
elefanții;the elephants  
rechinii;the sharks  
peștii;the fish  
delfinii;the dolphins  
șerpii;the snakes  
vulturii;the eagles  
vacile;the cows  
păsările;the birds  
pisicile;the cats  
albinele;the bees  
rațele;the ducks  
găinile;the hens  
animalele;the animals  
insectele;the insects  
balenele;the whales  
fetele;the girls  
nopțile;the nights  
zilele;the days  
limbile;the languages  
femeile;the women  
ziarele;the newspapers  
scrisorile;the letters  
cărțile;the books  
vinetele;the eggplants  
cepele;the onions  
roșiile;the tomatoes  
salatele;the salads  
legumele;the vegetables  
portocalele;the oranges  
fructele;the fruits  
bananele;the bananas  
supele;the soups  
prăjiturile;the cakes  
deserturile;the desserts  
paharele;the glasses  
farfuriile;the plates  
cuptoarele;the ovens  
mesele;the tables  
frigiderele;the fridges  
bucătăriile;the kitchens  
a înota;to swim  
a mânca;to eat  
a cânta;to sing  
a schimba;to change  
a întreba;to ask  
a asculta;to listen  
a ajuta;to help  
a cumpăra;to buy  
a lua;to take  
a vedea;to see  
a putea;to be able  
a vrea;to want  
a avea;to have  
a cădea;to fall  
a plăcea;to like  
a părea;to seem  
a bea;to drink  
a apărea;to appear  
a deschide;to open  
a închide;to close  
a merge;to go  
a face;to do/make  
a scrie;to write  
a atinge;to touch  
a spune;to say  
a începe;to start  
a vinde;to sell  
a citi;to read  
a dormi;to sleep  
a vorbi;to speak  
a auzi;to hear  
a dori;to wish/want  
a găsi;to find  
a ști;to know  
a fi;to be  
a iubi;to love  
a hotărî;to decide  
a urî;to hate  
a coborî;to go down  
a doborî;to knock down  
unu;one  
trei;three  
patru;four  
cinci;five  
câteva;some  
metru;meter  
jumătate;half  
șase;six  
șapte;seven  
opt;eight  
nouă;nine  
zece;ten  
puțină;a little  
număr;number  
cantitate;quantity  
mult;a lot  
destul;enough  
an;year  
milion;million  
total;total  
sumă;sum  
unsprezece;eleven  
doisprezece;twelve  
treisprezece;thirteen  
paisprezece;fourteen  
cincisprezece;fifteen  
șaisprezece;sixteen  
șaptesprezece;seventeen  
optsprezece;eighteen  
nouăsprezece;nineteen  
douăzeci;twenty  
treizeci;thirty  
patruzeci;forty  
cincizeci;fifty  
șaizeci;sixty  
șaptezeci;seventy  
optzeci;eighty  
nouăzeci;ninety  
sută;hundred  
mie;thousand  
majoritatea;majority  
sumă;sum  
port;port  
pantaloni;pants  
cămașă;shirt  
rochiile;the dresses  
fusta;the skirt  
palton;coat  
pantoful;the shoe  
îmbrăcămintea;the clothing  
haine;clothes  
costum;suit  
pălărie;hat  
curea;belt  
cravată;tie  
mănușa;the glove  
mai;more  
decât;than  
ca;as/like  
fel;way/manner  
scurt;short  
alt;other  
unele;some  
cel;the (masculine singular)  
cea;the (feminine singular)  
cei;the (masculine plural)  
cele;the (feminine plural)  
foarte;very  
asculta;to listen  
alerga;to run  
înota;to swim  
lucra;to work  
umblu;I walk  
da;to give  
explica;to explain  
lua;to take  
învăța;to learn  
spăla;to wash  
taie;to cut  
arăta;to show  
strigăm;we shout  
cânta;to sing  
caută;he/she looks for  
măsoară;he/she measures  
fuma;to smoke  
turna;to pour  
strica;to break  
visa;to dream  
aduna;to gather  
vizitează;he/she visits  
traversează;he/she crosses  
varsă;he/she spills  
leșina;to faint  
ajuta;to help  
cumpărați;you buy (plural/formal)  
rezolvăm;we solve  
roșu;red  
galbeni;yellow (masculine plural)  
albastru;blue  
portocaliu;orange  
albă;white (feminine singular)  
negru;black  
verde;green  
culoare;color  
colorată;colorful (feminine singular)  
mov;purple  
roz;pink  
maro;brown  
gri;gray  
primul;first (masculine singular)  
doua;second (feminine singular)  
treilea;third (masculine singular)  
patra;fourth (feminine singular)  
cincilea;fifth (masculine singular)  
șasea;sixth (feminine singular)  
șaptea;seventh (feminine singular)  
opta;eighth (feminine singular)  
noua;ninth (feminine singular)  
zecea;tenth (feminine singular)  
unsprezecea;eleventh (feminine singular)  
douăsprezecea;twelfth (feminine singular)  
treisprezecelea;thirteenth (masculine singular)  
paisprezecea;fourteenth (feminine singular)  
cincisprezecelea;fifteenth (masculine singular)  
ultimul;the last (masculine singular)  
douăzecea;twentieth (feminine singular)  
treizecilea;thirtieth (masculine singular)  
patruzecea;fortieth (feminine singular)  
cincizecilea;fiftieth (masculine singular)  
șaizecea;sixtieth (feminine singular)  
șaptezecilea;seventieth (masculine singular)  
optzecea;eightieth (feminine singular)  
nouăzecea;ninetieth (feminine singular)  
suta;hundredth (feminine singular)  
vedea;to see  
apărea;to appear  
părea;to seem  
cădea;to fall  
dispărea;to disappear  
scădea;to decrease  
taci;be quiet  
vrea;he/she wants  
cere;to ask/request  
aduce;to bring  
alege;to choose  
deschid;I open  
închide;to close  
fac;I do/make  
începeți;you (plural/formal) start  
înțelegeți;you (plural/formal) understand  
merge;he/she/it goes  
plângem;we cry  
râde;he/she/it laughs  
pune;to put  
conține;to contain  
presupune;to assume  
rămâne;to stay/remain  
umpli;you (singular) fill  
descriu;I describe  
răspunde;to answer  
(a)dormi;to sleep  
auzi;you (singular) hear  
fugim;we run away  
mint;I lie  
sări;to jump  
suferim;we suffer  
veni;to come  
contribui;I contribute  
glumi;to joke  
doresc;I wish  
găsește;he/she/it finds  
găti;to cook  
obosi;to get tired  
primește;he/she/it receives  
încălzi;to warm  
răci;to cool  
sosiți;you (plural/formal) arrive  
construim;we build  
locui;to live  
trăi;to live  
cobor;I descend  
omori;you (singular) kill  
promite;to promise  
trimiteți;you (plural/formal) send  
oferă;he/she/it offers  
astăzi;today  
azi;today  
mâine;tomorrow  
poimâine;the day after tomorrow  
ieri;yesterday  
alaltăieri;the day before yesterday  
deseară;this evening  
după;after  
amiază;noon  
săptămânii;of the week  
luni;Monday  
marți;Tuesday  
miercuri;Wednesday  
joia;Thursday  
vineri;Friday  
sâmbătă;Saturday  
duminică;Sunday  
timp;time  
luna;the month  
iarnă;winter  
decembrie;December  
ianuarie;January  
februarie;February  
primăvară;spring  
martie;March  
aprilie;April  
mai;May  
vară;summer  
iunie;June  
iulie;July  
august;August  
toamnă;autumn  
septembrie;September  
octombrie;October  
noiembrie;November  
anotimp;season  
calendar;calendar  
dată;date  
anii;the years  
deceniu;decade  
secolele;the centuries  
mileniile;the millennia  
oră;hour  
minut;minute  
secundă;second  
perioada;the period  
generația;the generation  
moment;moment  
etapă;stage  
naștere;birth  
morți;deaths  
părinte;parent  
mama;the mother  
tată;father  
fiu;son  
fiică;daughter  
fratele;the brother  
sora;the sister  
soțul;the husband  
soție;wife  
unchiul;the uncle  
mătușă;aunt  
verișorii;the cousins (male/mixed)  
verișoara;the cousin (female)  
cumnat;brother-in-law  
cumnata;sister-in-law  
nepoții;the grandchildren/nephews/nieces (mixed)  
nepoată;granddaughter/niece  
rudă;relative  
bunic;grandfather  
bunică;grandmother  
familiile;the families  
nume;name  
prenume;first name  
ginere;son-in-law  
noră;daughter-in-law  
socrii;the parents-in-law  
soacre;the mothers-in-law  
munci;to work  
muncă;work  
serviciile;the services  
slujbe;jobs  
carieră;career  
meserie;trade/profession  
profesiile;the professions  
profesionistă;professional (feminine)  
personal;staff  
profesor;teacher/professor  
învățător;teacher (primary school)  
studente;female students  
eleve;female pupils  
bibliotecar;librarian  
omul;the man  
savant;scholar/scientist  
cercetător;researcher  
exploratoarele;the female explorers  
matematician;mathematician  
fizician;physicist  
chimist;chemist  
biologii;the biologists  
istoric;historian  
arheolog;archaeologist  
filosof;philosopher  
psiholog;psychologist  
astronomul;the astronomer  
doctor;doctor  
medic;physician  
infirmier;nurse (male)  
farmacistele;the pharmacists (female)  
veterinari;veterinarians  
bancher;banker  
contabil;accountant  
economist;economist  
casier;cashier  
jurnalist;journalist  
reporter;reporter  
traducătoare;female translator  
interpret;interpreter  
scriitor;writer  
autoarea;the author (female)  
pictor;painter  
sculptor;sculptor  
fotograf;photographer  
regizor;director (film/theater)  
scenarist;screenwriter  
artist;artist  
actorul;the actor  
muziciană;female musician  
compozitoarele;the female composers  
cântăreț;singer (male)  
dansator;dancer (male)  
coregrafele;the female choreographers  
politiciana;the politician (female)  
președinta;the president (female)  
vicepreședinte;vice president  
șef;boss/chief  
director;director  
secretar;secretary  
recepționer;receptionist  
angajatul;the employee  
angajator;employer  
judecător;judge  
avocat;lawyer  
detectivii;the detectives  
polițist;police officer  
gardian;guard  
soldat;soldier  
pompier;firefighter  
poștașii;the postmen  
preot;priest  
inginerele;the female engineers  
arhitect;architect  
electrician;electrician  
instalator;plumber  
muncitor;worker  
fermier;farmer  
zidar;bricklayer  
tâmplar;carpenter  
grădinarii;the gardeners  
bucătarul;the chef  
chelner;waiter  
barmanele;the female bartenders  
brutărese;the female bakers  
măcelari;butchers  
pescarul;the fisherman  
vânătorii;the hunters  
căpitan;captain  
pirat;pirate  
croitor;tailor  
coafeză;hairdresser (female)  
frizer;barber  
cosmetician;beautician  
mecanicul;the mechanic  
șofer;driver  
taximetrist;taxi driver  
piloți;pilots  
stewardesa;flight attendant (female)  
pe;on  
la;at/to  
de;of/from  
între;between  
din;from  
în;in  
cu;with  
fără;without  
pentru;for  
lângă;next to  
sub;under  
peste;over/across  
după;after  
înainte;before  
până;until  
spre;towards  
dinspre;from (direction)  
către;towards  
printre;among  
despre;about  
prin;through  
în afară de;apart from  
în loc de;instead of  
împreună cu;together with  
dintre;between  
odată cu;at the same time as  
metru;meter  
decimetru;decimeter  
centimetru;centimeter  
milimetrii;millimeters  
decametru;decameter  
hectometru;hectometer  
kilometru;kilometer  
milă;mile  
gram;gram  
decigram;decigram  
centigram;centigram  
miligram;milligram  
decagram;decagram  
kilogram;kilogram  
tonă;ton  
livră;pound  
litru;liter  
decilitrul;deciliter  
centilitru;centiliter  
mililitru;milliliter  
decalitrul;decaliter  
hectolitri;hectoliters  
kilolitru;kiloliter  
gradul;degree  
volt;volt  
watt;watt  
cântărim;we weigh  
obiecte;objects  
lucrurile;the things  
piesele;the pieces  
bucată;piece  
felii;slices  
borcanul;the jar  
cutie;box  
pungă;bag  
ghiozdane;backpacks  
pixuri;pens  
creion;pencil  
gumă de șters;eraser  
ascuțitoare;sharpener  
foaie de hârtie;sheet of paper  
caiete;notebooks  
stilou;pen (fountain)  
riglă;ruler  
penarele;the pencil cases  
ochelari;glasses  
umbrela;umbrella  
foarfeca;scissors  
brelocurile;keychains  
cheia;key  
ceas;watch  
portofel;wallet  
poșetele;the handbags  
brichetă;lighter  
brățară;bracelet  
nasturii;the buttons  
inel;ring  
cercel;earring  
pieptene;comb  
perie de păr;hairbrush  
batistă;handkerchief  
lănțișor;necklace  
verigheta;wedding ring  
baterie;battery  
lumânare;candle  
ac;needle  
chibritul;match  
bec;light bulb  
timbru;stamp  
lipici;glue  
fermoar;zipper  
ciocan;hammer  
motor;engine  
